subject_id,exp_id,rep_number,peak_dynamic_accel_ms2,time_per_rep_s,peak_gyro_rad_s,power_w_kg
1,1,1,4.242371336470043,3.3,2.339640678706049,2.0868545454545453
1,2,2,3.220843461296432,3.12,1.5205019013769605,2.2072499999999997
2,3,1,5.3876167155126415,2.84,1.8149457277192318,2.4248661971830985
2,4,2,2.69912368854692,2.78,1.5931235110330508,2.4772014388489207
3,5,1,5.372851342385624,2.2,2.253221881867732,3.130281818181818
3,6,2,6.917208123741444,3.66,3.1724205788863205,1.8815901639344261
4,7,1,4.958135557195932,2.6,2.0955472369087667,2.6487
4,8,2,7.303145991498351,2.86,2.615484826237619,2.407909090909091
5,9,1,5.593044066021782,2.52,2.682177464114576,2.7327857142857144
5,10,2,4.703356382849257,2.58,1.891393257160917,2.6692325581395346
6,11,1,6.035390675378237,2.28,2.084847023205584,3.0204473684210527
6,12,2,5.7821552329135235,2.64,1.855345319583905,2.6085681818181814
7,13,1,3.704086331983132,1.86,1.3797934887775147,3.7024838709677415
7,14,2,4.640866204861234,1.48,1.9484581585120013,4.653121621621621
8,15,1,4.23822677406662,1.48,2.9018892059024473,4.653121621621621
8,16,2,3.6565059382392544,2.28,1.912648457087545,3.0204473684210527
8,16,3,9.0612235774735,2.34,1.8390364193957407,2.943
9,17,1,3.9783440156975223,2.12,1.5719715981653397,3.248405660377358
9,18,2,5.031936558700852,1.94,2.090782165123877,3.5498041237113402
10,19,1,6.582134338220173,1.78,2.6985300071581153,3.868887640449438
10,20,2,7.392004567100947,1.56,3.355035759820863,4.414499999999999
11,22,1,4.472278907162294,2.64,2.0353438529472427,2.6085681818181814
11,23,2,6.305213709009215,2.64,1.945431414372186,2.6085681818181814
12,24,1,5.955511305167485,2.08,2.179819051001049,3.310875
12,25,2,4.191994811182314,2.76,1.527121454632011,2.4951521739130436
13,26,1,4.729442315106223,2.84,2.33440536604763,2.4248661971830985
13,27,2,4.409595829276647,3.18,2.1424577699722867,2.1656037735849054
14,28,1,3.8740236800165717,2.72,1.6358643548561829,2.531845588235294
14,29,2,4.4453181478633566,2.8,2.277597416205474,2.459507142857143
15,30,1,4.835745075619641,2.2,2.2888851278136193,3.130281818181818
15,31,2,3.557653823032118,3.06,1.6426729014698418,2.2505294117647057
16,32,1,3.5614294095053514,2.18,1.870865830744353,3.159
16,33,2,3.583944536175599,2.18,2.264835462727027,3.159
17,34,1,3.5350049670743755,3.06,1.2712837212177859,2.2505294117647057
17,35,2,2.0736718050459992,3.16,1.2204704672893634,2.1793101265822785
18,36,1,2.5359476449646,3.64,1.4186840415560442,1.8919285714285714
18,37,2,3.381007463970269,3.52,1.9364659069038943,1.9564261363636364
19,38,1,5.002038568300608,2.7,2.435877952687308,2.5505999999999998
19,39,2,5.174446012208617,2.44,2.0247499220726928,2.822385245901639
20,40,1,2.4413071188459234,3.64,2.152266875200693,1.8919285714285714
20,41,2,3.812465655822734,2.42,1.9077255188041686,2.8457107438016527
21,42,1,2.340249285894626,2.92,1.213720423189474,2.358431506849315
21,43,2,4.176806134018999,2.36,2.0338175743287064,2.918059322033898
22,44,1,3.4425342319292573,2.08,1.774463036768293,3.310875
22,45,2,5.151542209777075,2.12,2.2340259251850054,3.248405660377358
22,45,3,2.1361301527266017,1.84,1.005541998500048,3.742728260869565
23,46,1,5.38189636740655,2.42,2.9870033496873525,2.8457107438016527
23,47,2,7.122532315413607,3.0,4.922378757456963,2.29554
24,48,1,3.689699787221048,2.18,1.5531703138011543,3.159
24,49,2,3.8870259644420355,2.48,1.9973480773872077,2.7768629032258065
25,50,1,3.6429750156700327,3.04,1.5891986525854713,2.2653355263157895
25,51,2,2.989847484844578,3.46,1.2281068426523587,1.9903526011560693
26,52,1,2.4862043964932363,3.64,1.2902599851067285,1.8919285714285714
26,53,2,5.524514105895814,2.04,2.909482784650246,3.3757941176470587
27,54,1,4.902889999342196,1.96,2.8528226551658387,3.5135816326530613
27,55,2,5.042618971511227,2.02,2.758363051504587,3.4092178217821782
28,56,1,5.134758542079693,2.76,2.4331932728215584,2.4951521739130436
28,57,2,4.309480554132622,2.42,2.1494591320461964,2.8457107438016527
29,58,1,3.3157503935710833,3.5,1.6274940950758725,1.9676057142857142
29,59,2,4.776163584832445,2.68,1.5918350143827824,2.569634328358209
30,60,1,4.683683687358369,3.02,2.0256234368489068,2.2803377483443708
30,61,2,5.141093599701436,2.56,2.0357867791063584,2.6900859374999997
