subject_id,n_reps,mean_peak_accel,mean_time_per_rep,mean_peak_gyro,mean_power,cv_accel,cv_time,cv_gyro,fatigue_slope_accel
1,2,3.731607398883238,3.21,1.9300712900415047,2.1470522727272723,0.19357054762044842,0.039650847543170824,0.30010217092540664,-1.0215278751736112
2,2,4.043370202029781,2.8099999999999996,1.7040346193761413,2.4510338180160094,0.4701651235362711,0.015098365434588219,0.09204742195557909,-2.6884930269657215
3,2,6.145029733063534,2.93,2.7128212303770263,2.505935991058122,0.17770868492180825,0.35234672373118064,0.23959250415824485,1.5443567813558206
4,2,6.130640774347141,2.73,2.3555160315731927,2.5283045454545454,0.2704729963932738,0.06734350297014732,0.1560810413855143,2.345010434302419
5,2,5.148200224435519,2.55,2.2867853606377464,2.7010091362126243,0.1221988591126368,0.016637806616154074,0.2445218011349414,-0.8896876831725251
6,2,5.90877295414588,2.46,1.9700961713947445,2.8145077751196172,0.030304853476885527,0.10347904114925097,0.08237273554512094,-0.25323544246471386
7,2,4.172476268422183,1.67,1.664125823644758,4.177802746294681,0.15875546269833304,0.16089854901250789,0.24163235644632475,0.9367798728781018
8,3,5.651985429926458,2.033333333333333,2.217858027461911,3.538856330014225,0.5249091944917864,0.23613386990204377,0.2676143723522159,2.41149840170344
9,2,4.505140287199187,2.0300000000000002,1.8313768816446085,3.399104892044349,0.16536719930388585,0.06269912345496487,0.20031620674286194,1.0535925430033295
10,2,6.98706945266056,1.67,3.0267828834894894,4.141693820224718,0.08196064667779071,0.09315179153355715,0.15337065374858405,0.809870228880774
11,2,5.3887463080857545,2.64,1.9903876336597144,2.6085681818181814,0.24051617087893412,0.0,0.031942368388082065,1.8329348018469211
12,2,5.0737530581748995,2.42,1.85347025281653,2.9030135869565217,0.2457735836437812,0.198691161655724,0.24900690785588347,-1.7635164939851702
13,2,4.569519072191435,3.01,2.2384315680099585,2.2952349853840017,0.04949440312989355,0.07987252677854698,0.06063506642644332,-0.31984648582957576
14,2,4.159670913939964,2.76,1.9567308855308285,2.4956763655462186,0.09711494025045174,0.02049584873004476,0.23190404094254655,0.5712944678467848
15,2,4.19669944932588,2.63,1.9657790146417304,2.690405614973262,0.21534708467746383,0.23122122882906115,0.23244782039583434,-1.2780912525875232
16,2,3.572686972840475,2.18,2.06785064673569,3.159,0.004456197497523372,0.0,0.13471891637642286,0.022515126670247465
17,2,2.8043383860601874,3.1100000000000003,1.2458770942535746,2.214919769173492,0.36847143468115956,0.022736552449728237,0.028839438972483897,-1.4613331620283763
18,2,2.958477554467435,3.58,1.6775749742299693,1.9241773538961038,0.20197805037420727,0.023701903279996026,0.21824781234051382,0.8450598190056691
19,2,5.0882422902546125,2.5700000000000003,2.23031393738,2.6864926229508193,0.023959250711760426,0.07153609459474805,0.13034551482244244,0.17240744390800877
20,2,3.126886387334329,3.0300000000000002,2.029996197002431,2.368819657615112,0.310070587631639,0.2847096610718112,0.08518087454738789,1.3711585369768104
21,2,3.2585277099568124,2.6399999999999997,1.6237689987590902,2.6382454144416068,0.39853636885615057,0.1499923475244192,0.3571297747681388,1.8365568481243724
22,3,3.576735531477644,2.013333333333333,1.6713436534844488,3.4340029737489743,0.4227818537369172,0.07521732908344735,0.37137779661834475,-0.6532020396013278
23,2,6.252214341410078,2.71,3.9546910535721578,2.5706253719008263,0.19686073048725258,0.15133650667461165,0.34604904819035853,1.740635948007057
24,2,3.7883628758315417,2.33,1.775259195594181,2.967931451612903,0.03683139197375645,0.09104379156908332,0.17692126843418501,0.19732617722098755
25,2,3.316411250257305,3.25,1.408652747618915,2.1278440637359295,0.13925622342237368,0.09137995326103074,0.18125863018137017,-0.6531275308254547
26,2,4.005359251194525,2.84,2.099871384878487,2.633861344537815,0.5363836959750283,0.39837001756988605,0.5452540712989155,3.0383097094025775
27,2,4.972754485426711,1.99,2.805592853335213,3.4613997272176196,0.0198689285864613,0.02131980244783562,0.023807098816089077,0.13972897216903135
28,2,4.722119548106157,2.59,2.2913262024338774,2.6704314588573483,0.12358002708241571,0.09282482841831122,0.08756079111882224,-0.8252779879470706
29,2,4.045956989201764,3.09,1.6096645547293273,2.2686200213219614,0.25523456468550665,0.18764645973235236,0.015664616391582457,1.4604131912613618
30,2,4.912388643529902,2.79,2.0307051079776324,2.485211842922185,0.06584121784128912,0.11658391374401857,0.0035389521607698655,0.45740991234306705
